#,Year,represented_country,Winner,Venue
1,2013,United States,Mark Anthony Wingson,"Las Vegas, United States[42]"
2,2014,United States,Jeremy Buendia[42],"Las Vegas, United States[42]"
3,2015,United States,Jeremy Buendia[42],"Las Vegas, United States[42]"
4,2016,United States,Jeremy Buendia[42],"Las Vegas, United States[42]"
5,2017,United States,Jeremy Buendia[42],"Las Vegas, United States[42]"
6,2018,United States,Brandon Hendrickson[42],"Las Vegas, United States[42]"
7,2019,United States,Raymont Edmonds[42],"Las Vegas, United States[42]"
8,2020,United States,Brandon Hendrickson,"Orlando, United States[42]"
9,2021,United States,Brandon Hendrickson,"Orlando, United States[42]"
10,2022,United States,Erin Banks[42],"Las Vegas, United States[42]"
11,2023,United States,Ryan Terry,"Orlando, United States[42]"
